loss,hyperparameters,iteration,runtime,score,std
0.5711717729111062,"{'boosting_type': 'dart', 'colsample_bytree': 0.7788789878299968, 'learning_rate': 0.13501398541665074, 'limit_max_depth': True, 'max_depth': 13, 'min_child_samples': 45, 'num_leaves': 21, 'reg_alpha': 0.9206577063098185, 'reg_lambda': 0.9108466740691041, 'subsample_for_bin': 48000, 'drop_rate': 0.1839383600901035, 'subsample': 0.8287366034252631, 'subsample_freq': 7, 'n_estimators': 57}",28,4.3310122647196065,0.4288282270888938,0.02160596966447287
0.5643952056008914,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6410977624867122, 'learning_rate': 0.09138342552317355, 'limit_max_depth': True, 'max_depth': 16, 'min_child_samples': 10, 'num_leaves': 34, 'reg_alpha': 0.8984475308796297, 'reg_lambda': 0.5106864174361805, 'subsample_for_bin': 98000, 'subsample': 0.8738322559487032, 'subsample_freq': 7, 'n_estimators': 25}",29,2.6886303139782513,0.43560479439910854,0.019104351071719122
0.5631882761117837,"{'boosting_type': 'dart', 'colsample_bytree': 0.5686449635383686, 'learning_rate': 0.05258862520949339, 'limit_max_depth': True, 'max_depth': 22, 'min_child_samples': 25, 'num_leaves': 28, 'reg_alpha': 0.7102871682771833, 'reg_lambda': 0.14046995528317385, 'subsample_for_bin': 38000, 'drop_rate': 0.11340391723540585, 'subsample': 0.623166669667125, 'subsample_freq': 10, 'n_estimators': 67}",30,3.8146446334104667,0.43681172388821626,0.012831541432327181
0.5622551000743317,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.6493531010631736, 'learning_rate': 0.12294553327429354, 'limit_max_depth': True, 'max_depth': 11, 'min_child_samples': 20, 'num_leaves': 18, 'reg_alpha': 0.6020844372852759, 'reg_lambda': 0.8825242766218642, 'subsample_for_bin': 62000, 'subsample': 0.6529182021910763, 'subsample_freq': 1, 'n_estimators': 61}",31,2.103769341635325,0.4377448999256684,0.010440765423895302
0.5812978029753053,"{'boosting_type': 'dart', 'colsample_bytree': 0.966952847304401, 'learning_rate': 0.16397926079725433, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 30, 'num_leaves': 5, 'reg_alpha': 0.467962203853964, 'reg_lambda': 0.5275584085723415, 'subsample_for_bin': 76000, 'drop_rate': 0.36563953622391987, 'subsample': 0.8177301541582995, 'subsample_freq': 4, 'n_estimators': 72}",32,3.5082713136462305,0.41870219702469463,0.01597478468986838
0.5616791248646975,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5392367800164817, 'learning_rate': 0.07706916940670004, 'limit_max_depth': True, 'max_depth': 18, 'min_child_samples': 10, 'num_leaves': 37, 'reg_alpha': 0.8845959930556965, 'reg_lambda': 0.7171206412973706, 'subsample_for_bin': 52000, 'subsample': 0.898892702163374, 'subsample_freq': 6, 'n_estimators': 88}",33,3.8631245605855837,0.4383208751353025,0.022160769863513386
0.5765206387762101,"{'boosting_type': 'dart', 'colsample_bytree': 0.6921888470240587, 'learning_rate': 0.04112791237743463, 'limit_max_depth': True, 'max_depth': 3, 'min_child_samples': 15, 'num_leaves': 42, 'reg_alpha': 0.3361661290261874, 'reg_lambda': 0.09575593385222611, 'subsample_for_bin': 22000, 'drop_rate': 0.2235562114629036, 'subsample': 0.5713695085397705, 'subsample_freq': 8, 'n_estimators': 87}",34,3.353152710740301,0.42347936122378993,0.01471992954109051
0.5655506393833262,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.5662275666183635, 'learning_rate': 0.16147082714327274, 'limit_max_depth': False, 'max_depth': -1, 'min_child_samples': 55, 'num_leaves': 31, 'reg_alpha': 0.568327721283274, 'reg_lambda': 0.25430039355303263, 'subsample_for_bin': 4000, 'subsample': 0.8133751088557951, 'subsample_freq': 10, 'n_estimators': 51}",35,1.8595741119634794,0.43444936061667383,0.015430913184829077
0.565908267644897,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9257480301245384, 'learning_rate': 0.09876983767528638, 'limit_max_depth': True, 'max_depth': 10, 'min_child_samples': 5, 'num_leaves': 14, 'reg_alpha': 0.7177125995115996, 'reg_lambda': 0.33485463544104066, 'subsample_for_bin': 22000, 'subsample': 0.5873804809164351, 'subsample_freq': 8, 'n_estimators': 93}",36,2.8543213112579906,0.43409173235510307,0.010273443252333384
0.5673774684602353,"{'boosting_type': 'dart', 'colsample_bytree': 0.6670939125993179, 'learning_rate': 0.0730806783060623, 'limit_max_depth': True, 'max_depth': 19, 'min_child_samples': 40, 'num_leaves': 37, 'reg_alpha': 0.27541173450917256, 'reg_lambda': 0.7686933828861888, 'subsample_for_bin': 64000, 'drop_rate': 0.4865259560587775, 'subsample': 0.5064299654770219, 'subsample_freq': 1, 'n_estimators': 55}",37,5.467212668872298,0.43262253153976465,0.019746951198990302
